sortie,phase,start_s,end_s,direct_available,reason,gap_id
Q23-019,leg2-cruise,4799.703164016776,4897.8887220010365,False,,10
Q23-014,leg1-climb,4847.0,4913.236962890625,True,,
Q23-010,leg1-cruise,4897.886171234741,5046.841218186694,False,,11
Q23-019,leg2-cruise,4897.8887220010365,5153.171172760115,True,,
Q23-014,leg1-cruise,4913.236962890625,5237.249304238686,True,,
Q23-010,leg1-descent,5046.841218186694,5114.8168846906,False,,11
Q23-010,S004-handoff,5114.8168846906,5324.8168846906,False,,11
Q23-019,leg2-descent,5153.171172760115,5252.526617096052,True,,
Q23-014,leg1-cruise,5237.249304238686,5355.071973819799,False,,12
Q23-009,leg1-climb,5282.489,5427.190379394531,True,,
Q23-010,leg2-climb,5324.8168846906,5381.4632734438555,False,,11
Q23-014,leg1-descent,5355.071973819799,5407.636329288549,False,,12
Q23-010,leg2-cruise,5381.4632734438555,5530.418320395809,False,,11
Q23-014,S005-handoff,5407.636329288549,5617.636329288549,False,,12
Q23-021,leg1-climb,5424.275,5496.776701660156,True,,
Q23-009,leg1-cruise,5427.190379394531,5754.53395018966,True,,
Q23-021,leg1-cruise,5496.776701660156,5754.533023629233,True,,
Q23-010,leg2-cruise,5530.418320395809,5897.840769543962,True,,
Q23-014,leg2-climb,5617.636329288549,5661.439958845841,False,,12
Q23-014,leg2-cruise,5661.439958845841,5779.262628426954,False,,12
Q23-021,leg1-cruise,5754.533023629233,5992.461936216073,False,,13
Q23-009,leg1-cruise,5754.53395018966,6032.280010258254,False,,14
Q23-022,leg1-climb,5762.527,5857.886135742187,True,,
Q23-014,leg2-cruise,5779.262628426954,6103.274969775014,True,,
Q23-022,leg1-cruise,5857.886135742187,6069.955022959247,True,,
Q23-010,leg2-descent,5897.840769543962,6006.056436047868,True,,
Q23-021,leg1-descent,5992.461936216073,6037.189063291268,False,,13
Q23-009,leg1-descent,6032.280010258254,6121.601665531692,False,,14
Q23-021,S002-handoff,6037.189063291268,6433.189063291268,False,,13
Q23-022,leg1-descent,6069.955022959247,6095.603942636982,True,,
Q23-022,S006-handoff,6095.603942636982,6419.603942636982,True,,
Q23-014,leg2-descent,6103.274969775014,6182.759325243765,True,,
Q23-009,S003-handoff,6121.601665531692,6331.601665531692,False,,14
Q23-011,leg1-climb,6259.0,6340.736444091797,True,,
Q23-009,leg2-climb,6331.601665531692,6406.036378259556,False,,14
Q23-011,leg1-cruise,6340.736444091797,6625.796713622597,True,,
Q23-012,leg1-climb,6366.057,6514.0900851236975,True,,
Q23-009,leg2-cruise,6406.036378259556,6683.78243832815,False,,14
Q23-022,leg2-climb,6419.603942636982,6529.828473886982,True,,
Q23-021,leg2-climb,6433.189063291268,6468.970764951425,False,,13
Q23-021,leg2-cruise,6468.970764951425,6706.899677538265,False,,13
Q23-012,leg1-cruise,6514.0900851236975,6768.556691078151,True,,
Q23-022,leg2-cruise,6529.828473886982,6638.383089499344,True,,
Q23-015,leg1-climb,6543.0,6598.887251790365,True,,
Q23-015,leg1-cruise,6598.887251790365,6833.649895552999,True,,
Q23-011,leg1-cruise,6625.796713622597,6881.3679897536595,False,,15
Q23-022,leg2-cruise,6638.383089499344,6697.594698015178,False,,16
Q23-009,leg2-cruise,6683.78243832815,7011.126009123279,True,,
Q23-022,leg2-descent,6697.594698015178,6706.897056789217,True,,
Q23-022,leg2-descent,6706.897056789217,6818.525362077678,False,,17
Q23-021,leg2-cruise,6706.899677538265,6964.655999507342,True,,
Q23-012,leg1-cruise,6768.556691078151,6915.364348359567,False,,18
Q23-022,S007-handoff,6818.525362077678,7106.525362077678,False,,17
Q23-015,leg1-descent,6833.649895552999,6866.954597701436,True,,
Q23-015,S011-handoff,6866.954597701436,7076.954597701436,True,,
Q23-011,leg1-descent,6881.3679897536595,6922.171722663816,False,,15
Q23-012,leg1-descent,6915.364348359567,6954.284050508005,False,,18
Q23-011,S008-handoff,6922.171722663816,7132.171722663816,False,,15
Q23-012,S015-handoff,6954.284050508005,7164.284050508005,False,,18
Q23-021,leg2-descent,6964.655999507342,7055.283126582537,True,,
Q23-009,leg2-descent,7011.126009123279,7184.767664396716,True,,
Q23-015,leg2-climb,7076.954597701436,7104.708516158467,True,,
Q23-015,leg2-cruise,7104.708516158467,7339.471159921101,True,,
Q23-022,leg3-climb,7106.525362077678,7171.9146320972095,False,,17
Q23-011,leg2-climb,7132.171722663816,7166.174833422279,False,,15
Q23-012,leg2-climb,7164.284050508005,7196.717135631703,False,,18
Q23-011,leg2-cruise,7166.174833422279,7421.746109553342,False,,15
Q23-022,leg3-cruise,7171.9146320972095,7210.9153021874245,False,,17
Q23-012,leg2-cruise,7196.717135631703,7343.524792913118,False,,18
Q23-022,leg3-cruise,7210.9153021874245,7474.169825296373,True,,
Q23-015,leg2-descent,7339.471159921101,7406.535862069539,True,,
Q23-012,leg2-cruise,7343.524792913118,7597.991398867573,True,,
Q23-011,leg2-cruise,7421.746109553342,7706.806379084142,True,,
Q23-022,leg3-descent,7474.169825296373,7666.306412820787,True,,
Q23-025,leg1-climb,7595.541,7769.182655273437,True,,
Q23-012,leg2-descent,7597.991398867573,7775.63110101601,True,,
Q23-011,leg2-descent,7706.806379084142,7804.8901119942975,True,,
Q23-025,leg1-cruise,7769.182655273437,8026.0370291910995,True,,
Q23-025,leg1-cruise,8026.0370291910995,8253.254359964416,False,,19
Q23-025,leg1-descent,8253.254359964416,8364.906429056213,False,,19
Q23-025,S003-handoff,8364.906429056213,8760.906429056213,False,,19
Q23-024,leg1-climb,8439.382,8547.597666503905,True,,
Q23-024,leg1-cruise,8547.597666503905,8915.020115652058,True,,
Q23-025,leg2-climb,8760.906429056213,8850.22808432965,False,,19
Q23-025,leg2-cruise,8850.22808432965,9077.445415102966,False,,19
Q23-024,leg1-cruise,8915.020115652058,9063.975162604012,False,,20
Q23-024,leg1-descent,9063.975162604012,9148.944745733896,False,,20
Q23-025,leg2-cruise,9077.445415102966,9334.299789020628,True,,
Q23-024,S004-handoff,9148.944745733896,9472.944745733896,False,,20
Q23-025,leg2-descent,9334.299789020628,9551.351858112424,True,,
Q23-024,leg2-climb,9472.944745733896,9540.920412237801,False,,20
Q23-024,leg2-cruise,9540.920412237801,9689.875459189754,False,,20
Q23-024,leg2-cruise,9689.875459189754,10057.297908337907,True,,
Q23-024,leg2-descent,10057.297908337907,10192.56749146779,True,,
