运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,诊断说明
Q23-023,leg1-cruise,3368.2990024409564,3623.8702785720184,中继,R3-004,
Q23-005,leg2-descent,3374.5643567345587,3431.483949019715,中继,R3-003,
Q23-007,S006-handoff,3380.0711912153356,3590.0711912153356,直连,,
Q23-004,S014-handoff,3384.0378421740124,3594.0378421740124,中继,R3-003,
Q23-005,S009-handoff,3431.483949019715,3611.483949019715,中继,R3-003,
Q23-001,leg2-climb,3529.8227862473877,3591.810642285799,中继,R3-003,
Q23-020,leg2-climb,3530.5455873948295,3581.335711906548,中继,R3-003,
Q23-020,leg2-cruise,3581.335711906548,3696.6151879742906,中继,R3-003,
Q23-007,leg2-climb,3590.0711912153356,3607.170471000492,直连,,
Q23-001,leg2-cruise,3591.810642285799,3709.0353614864703,中继,R3-003,
Q23-004,leg2-climb,3594.0378421740124,3674.35363807245,中继,R3-003,
Q23-007,leg2-cruise,3607.170471000492,3872.2565800218167,直连,,
Q23-005,leg3-climb,3611.483949019715,3632.5602531375534,中继,R3-003,
Q23-023,leg1-descent,3623.8702785720184,3674.874944709714,中继,R3-004,
Q23-005,leg3-cruise,3632.5602531375534,3759.7309285423235,中继,R3-003,
Q23-004,leg2-cruise,3674.35363807245,3801.7846565992654,中继,R3-003,
Q23-023,S008-handoff,3674.874944709714,3962.874944709714,中继,R3-004,
Q23-020,leg2-descent,3696.6151879742906,3757.603337388353,中继,R3-003,
Q23-001,leg2-descent,3709.0353614864703,3783.660788732564,中继,R3-003,
Q23-020,S010-handoff,3757.603337388353,3937.603337388353,中继,R3-003,
Q23-005,leg3-cruise,3759.7309285423235,4014.0722793518635,直连,,
Q23-001,S014-handoff,3783.660788732564,3963.660788732564,中继,R3-003,
Q23-004,leg2-cruise,3801.7846565992654,4125.263395936567,直连,,
Q23-007,leg2-descent,3872.2565800218167,3967.615715764004,直连,,
Q23-019,leg1-climb,3924.4809999999998,4003.9653554687497,直连,,
Q23-020,leg3-climb,3937.603337388353,3965.61551593653,中继,R3-003,
Q23-023,leg2-climb,3962.874944709714,4003.67867761987,中继,R3-004,
Q23-001,leg3-climb,3963.660788732564,4043.9765846310015,中继,R3-003,
Q23-020,leg3-cruise,3965.61551593653,4035.301097835169,中继,R3-003,
Q23-023,leg2-cruise,4003.67867761987,4259.249953750932,中继,R3-004,
Q23-019,leg1-cruise,4003.9653554687497,4259.247806227828,直连,,
Q23-005,leg3-descent,4014.0722793518635,4080.28384429327,直连,,
Q23-020,leg3-cruise,4035.301097835169,4363.81884107161,直连,,
Q23-001,leg3-cruise,4043.9765846310015,4151.219986501386,中继,R3-003,
Q23-004,leg2-descent,4125.263395936567,4310.962351014692,直连,,
Q23-001,leg3-cruise,4151.219986501386,4404.704390922295,直连,,
Q23-019,leg1-cruise,4259.247806227828,4357.433364212088,中继,R3-004,
Q23-023,leg2-cruise,4259.249953750932,4544.310223281732,直连,,
Q23-019,leg1-descent,4357.433364212088,4423.138808548026,中继,R3-004,
Q23-020,leg3-descent,4363.81884107161,4486.993455329422,直连,,
Q23-001,leg3-descent,4404.704390922295,4590.40334600042,直连,,
Q23-019,S005-handoff,4423.138808548026,4747.138808548026,中继,R3-004,
Q23-010,leg1-climb,4440.284,4530.463722086588,直连,,
Q23-010,leg1-cruise,4530.463722086588,4897.886171234741,直连,,
Q23-023,leg2-descent,4544.310223281732,4666.914889419427,直连,,
Q23-019,leg2-climb,4747.138808548026,4799.703164016776,中继,R3-004,
Q23-019,leg2-cruise,4799.703164016776,4897.8887220010365,中继,R3-004,
Q23-014,leg1-climb,4847.0,4913.236962890625,直连,,
Q23-010,leg1-cruise,4897.886171234741,5046.841218186694,中继,R3-004,
Q23-019,leg2-cruise,4897.8887220010365,5153.171172760115,直连,,
Q23-014,leg1-cruise,4913.236962890625,5237.249304238686,直连,,
Q23-010,leg1-descent,5046.841218186694,5114.8168846906,中继,R3-004,
Q23-010,S004-handoff,5114.8168846906,5324.8168846906,中继,R3-004,
Q23-019,leg2-descent,5153.171172760115,5252.526617096052,直连,,
Q23-014,leg1-cruise,5237.249304238686,5355.071973819799,中继,R3-004,
Q23-009,leg1-climb,5282.489,5427.190379394531,直连,,
Q23-010,leg2-climb,5324.8168846906,5381.4632734438555,中继,R3-004,
Q23-014,leg1-descent,5355.071973819799,5407.636329288549,中继,R3-004,
Q23-010,leg2-cruise,5381.4632734438555,5530.418320395809,中继,R3-004,
Q23-014,S005-handoff,5407.636329288549,5617.636329288549,中继,R3-004,
Q23-021,leg1-climb,5424.275,5496.776701660156,直连,,
Q23-009,leg1-cruise,5427.190379394531,5754.53395018966,直连,,
Q23-021,leg1-cruise,5496.776701660156,5754.533023629233,直连,,
Q23-010,leg2-cruise,5530.418320395809,5897.840769543962,直连,,
Q23-014,leg2-climb,5617.636329288549,5661.439958845841,中继,R3-004,
Q23-014,leg2-cruise,5661.439958845841,5779.262628426954,中继,R3-004,
Q23-021,leg1-cruise,5754.533023629233,5992.461936216073,中继,R3-005,
Q23-009,leg1-cruise,5754.53395018966,6032.280010258254,中继,R3-005,
Q23-022,leg1-climb,5762.527,5857.886135742187,直连,,
Q23-014,leg2-cruise,5779.262628426954,6103.274969775014,直连,,
Q23-022,leg1-cruise,5857.886135742187,6069.955022959247,直连,,
Q23-010,leg2-descent,5897.840769543962,6006.056436047868,直连,,
Q23-021,leg1-descent,5992.461936216073,6037.189063291268,中继,R3-005,
Q23-009,leg1-descent,6032.280010258254,6121.601665531692,中继,R3-005,
Q23-021,S002-handoff,6037.189063291268,6433.189063291268,中继,R3-005,
Q23-022,leg1-descent,6069.955022959247,6095.603942636982,直连,,
Q23-022,S006-handoff,6095.603942636982,6419.603942636982,直连,,
Q23-014,leg2-descent,6103.274969775014,6182.759325243765,直连,,
Q23-009,S003-handoff,6121.601665531692,6331.601665531692,中继,R3-005,
Q23-011,leg1-climb,6259.0,6340.736444091797,直连,,
Q23-009,leg2-climb,6331.601665531692,6406.036378259556,中继,R3-005,
Q23-011,leg1-cruise,6340.736444091797,6625.796713622597,直连,,
Q23-012,leg1-climb,6366.057,6514.0900851236975,直连,,
Q23-009,leg2-cruise,6406.036378259556,6683.78243832815,中继,R3-005,
Q23-022,leg2-climb,6419.603942636982,6529.828473886982,直连,,
Q23-021,leg2-climb,6433.189063291268,6468.970764951425,中继,R3-005,
Q23-021,leg2-cruise,6468.970764951425,6706.899677538265,中继,R3-005,
Q23-012,leg1-cruise,6514.0900851236975,6768.556691078151,直连,,
Q23-022,leg2-cruise,6529.828473886982,6638.383089499344,直连,,
Q23-015,leg1-climb,6543.0,6598.887251790365,直连,,
Q23-015,leg1-cruise,6598.887251790365,6833.649895552999,直连,,
Q23-011,leg1-cruise,6625.796713622597,6881.3679897536595,中继,R3-005,
Q23-022,leg2-cruise,6638.383089499344,6697.594698015178,中继,R3-005,
Q23-009,leg2-cruise,6683.78243832815,7011.126009123279,直连,,
Q23-022,leg2-descent,6697.594698015178,6706.897056789217,直连,,
Q23-022,leg2-descent,6706.897056789217,6818.525362077678,中继,R3-005,
Q23-021,leg2-cruise,6706.899677538265,6964.655999507342,直连,,
Q23-012,leg1-cruise,6768.556691078151,6915.364348359567,中继,R3-005,
Q23-022,S007-handoff,6818.525362077678,7106.525362077678,中继,R3-005,
Q23-015,leg1-descent,6833.649895552999,6866.954597701436,直连,,
Q23-015,S011-handoff,6866.954597701436,7076.954597701436,直连,,
Q23-011,leg1-descent,6881.3679897536595,6922.171722663816,中继,R3-005,
Q23-012,leg1-descent,6915.364348359567,6954.284050508005,中继,R3-005,
Q23-011,S008-handoff,6922.171722663816,7132.171722663816,中继,R3-005,
Q23-012,S015-handoff,6954.284050508005,7164.284050508005,中继,R3-005,
Q23-021,leg2-descent,6964.655999507342,7055.283126582537,直连,,
Q23-009,leg2-descent,7011.126009123279,7184.767664396716,直连,,
Q23-015,leg2-climb,7076.954597701436,7104.708516158467,直连,,
Q23-015,leg2-cruise,7104.708516158467,7339.471159921101,直连,,
Q23-022,leg3-climb,7106.525362077678,7171.9146320972095,中继,R3-005,
Q23-011,leg2-climb,7132.171722663816,7166.174833422279,中继,R3-005,
Q23-012,leg2-climb,7164.284050508005,7196.717135631703,中继,R3-005,
Q23-011,leg2-cruise,7166.174833422279,7421.746109553342,中继,R3-005,
Q23-022,leg3-cruise,7171.9146320972095,7210.9153021874245,中继,R3-005,
Q23-012,leg2-cruise,7196.717135631703,7343.524792913118,中继,R3-005,
Q23-022,leg3-cruise,7210.9153021874245,7474.169825296373,直连,,
Q23-015,leg2-descent,7339.471159921101,7406.535862069539,直连,,
Q23-012,leg2-cruise,7343.524792913118,7597.991398867573,直连,,
Q23-011,leg2-cruise,7421.746109553342,7706.806379084142,直连,,
Q23-022,leg3-descent,7474.169825296373,7666.306412820787,直连,,
Q23-025,leg1-climb,7595.541,7769.182655273437,直连,,
Q23-012,leg2-descent,7597.991398867573,7775.63110101601,直连,,
Q23-011,leg2-descent,7706.806379084142,7804.8901119942975,直连,,
Q23-025,leg1-cruise,7769.182655273437,8026.0370291910995,直连,,
Q23-025,leg1-cruise,8026.0370291910995,8253.254359964416,中继,R3-006,
Q23-025,leg1-descent,8253.254359964416,8364.906429056213,中继,R3-006,
Q23-025,S003-handoff,8364.906429056213,8760.906429056213,中继,R3-006,
Q23-024,leg1-climb,8439.382,8547.597666503905,直连,,
Q23-024,leg1-cruise,8547.597666503905,8915.020115652058,直连,,
Q23-025,leg2-climb,8760.906429056213,8850.22808432965,中继,R3-006,
Q23-025,leg2-cruise,8850.22808432965,9077.445415102966,中继,R3-006,
Q23-024,leg1-cruise,8915.020115652058,9063.975162604012,中继,R3-007,
Q23-024,leg1-descent,9063.975162604012,9148.944745733896,中继,R3-007,
Q23-025,leg2-cruise,9077.445415102966,9334.299789020628,直连,,
Q23-024,S004-handoff,9148.944745733896,9472.944745733896,中继,R3-007,
Q23-025,leg2-descent,9334.299789020628,9551.351858112424,直连,,
Q23-024,leg2-climb,9472.944745733896,9540.920412237801,中继,R3-007,
Q23-024,leg2-cruise,9540.920412237801,9689.875459189754,中继,R3-007,
Q23-024,leg2-cruise,9689.875459189754,10057.297908337907,直连,,
Q23-024,leg2-descent,10057.297908337907,10192.56749146779,直连,,
