货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S005-WAT-03,饮用水,Q2-016,S005,False,10800.0,,2870.0845502465727,0.0,无需硬时限
S005-FOD-01,应急食品,Q2-016,S005,False,14400.0,,2870.0845502465727,0.0,无需硬时限
S005-HYG-01,生活卫生用品,Q2-016,S005,False,18000.0,,2870.0845502465727,0.0,无需硬时限
S007-WAT-02,饮用水,Q2-017,S007,False,3600.0,,4056.619506353399,456.6195063533992,无需硬时限
S007-FOD-01,应急食品,Q2-017,S007,False,7200.0,,4056.619506353399,0.0,无需硬时限
S007-HYG-01,生活卫生用品,Q2-017,S007,False,10800.0,,4056.619506353399,0.0,无需硬时限
S002-MED-01,医疗物资,Q2-018,S002,True,3600.0,3600.0,1285.8063295718503,0.0,医疗期望送达:是;首批截止:是
S002-WAT-01,饮用水,Q2-018,S002,True,3600.0,3600.0,1285.8063295718503,0.0,首批截止:是
S015-MED-01,医疗物资,Q2-019,S015,True,7200.0,7200.0,1258.545616316972,0.0,医疗期望送达:是;首批截止:是
S015-WAT-01,饮用水,Q2-019,S015,True,10800.0,10800.0,1258.545616316972,0.0,首批截止:是
S015-FOD-01,应急食品,Q2-020,S015,False,14400.0,,7697.240100511733,0.0,无需硬时限
S002-WAT-02,饮用水,Q2-021,S002,False,3600.0,,4864.386422085869,1264.3864220858686,无需硬时限
S002-WAT-03,饮用水,Q2-021,S002,False,3600.0,,4864.386422085869,1264.3864220858686,无需硬时限
S002-WAT-04,饮用水,Q2-021,S002,False,3600.0,,4864.386422085869,1264.3864220858686,无需硬时限
S002-FOD-01,应急食品,Q2-021,S002,False,7200.0,,4864.386422085869,0.0,无需硬时限
S002-FOD-02,应急食品,Q2-021,S002,False,7200.0,,4864.386422085869,0.0,无需硬时限
S002-HYG-01,生活卫生用品,Q2-021,S002,False,10800.0,,4864.386422085869,0.0,无需硬时限
S014-MED-01,医疗物资,Q2-022,S014,True,7200.0,3600.0,2925.8914113894866,0.0,医疗期望送达:是;首批截止:是
S014-WAT-01,饮用水,Q2-022,S014,True,3600.0,3600.0,2925.8914113894866,0.0,首批截止:是
S014-FOD-01,应急食品,Q2-023,S014,False,7200.0,,7869.098621822835,669.0986218228354,无需硬时限
S012-MED-01,医疗物资,Q2-024,S012,True,7200.0,3600.0,3047.5808724639137,0.0,医疗期望送达:是;首批截止:是
S012-WAT-01,饮用水,Q2-024,S012,True,3600.0,3600.0,3047.5808724639137,0.0,首批截止:是
S012-FOD-01,应急食品,Q2-025,S012,False,7200.0,,9460.417851345795,2260.4178513457955,无需硬时限
S008-MED-01,医疗物资,Q2-026,S008,True,7200.0,7200.0,4086.238728004946,0.0,医疗期望送达:是;首批截止:是
S008-WAT-01,饮用水,Q2-026,S008,True,7200.0,7200.0,4086.238728004946,0.0,首批截止:是
S004-MED-01,医疗物资,Q2-027,S004,True,7200.0,7200.0,4134.675171798843,0.0,医疗期望送达:是;首批截止:是
S004-WAT-01,饮用水,Q2-027,S004,True,7200.0,7200.0,4134.675171798843,0.0,首批截止:是
S008-WAT-02,饮用水,Q2-028,S008,False,7200.0,,5974.9920716304405,0.0,无需硬时限
S008-FOD-01,应急食品,Q2-028,S008,False,10800.0,,5974.9920716304405,0.0,无需硬时限
S008-HYG-01,生活卫生用品,Q2-028,S008,False,14400.0,,5974.9920716304405,0.0,无需硬时限
S004-WAT-02,饮用水,Q2-029,S004,False,7200.0,,6940.043231111033,0.0,无需硬时限
S004-WAT-03,饮用水,Q2-029,S004,False,7200.0,,6940.043231111033,0.0,无需硬时限
S004-FOD-01,应急食品,Q2-029,S004,False,10800.0,,6940.043231111033,0.0,无需硬时限
S004-HYG-01,生活卫生用品,Q2-029,S004,False,14400.0,,6940.043231111033,0.0,无需硬时限
S003-MED-01,医疗物资,Q2-030,S003,True,7200.0,7200.0,5051.928585761858,0.0,医疗期望送达:是;首批截止:是
S003-WAT-01,饮用水,Q2-030,S003,True,7200.0,7200.0,5051.928585761858,0.0,首批截止:是
S003-WAT-02,饮用水,Q2-031,S003,False,7200.0,,8324.397445396367,1124.3974453963674,无需硬时限
S003-WAT-03,饮用水,Q2-031,S003,False,7200.0,,8324.397445396367,1124.3974453963674,无需硬时限
S003-WAT-04,饮用水,Q2-031,S003,False,7200.0,,8324.397445396367,1124.3974453963674,无需硬时限
S003-FOD-01,应急食品,Q2-031,S003,False,10800.0,,8324.397445396367,0.0,无需硬时限
S003-FOD-02,应急食品,Q2-031,S003,False,10800.0,,8324.397445396367,0.0,无需硬时限
S003-HYG-01,生活卫生用品,Q2-031,S003,False,14400.0,,8324.397445396367,0.0,无需硬时限
