货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S007-MED-01,医疗物资,Q23-010,S007,True,3600.0,3600.0,1338.5726205673277,0.0,医疗期望送达:是;首批截止:是
S007-WAT-01,饮用水,Q23-010,S007,True,3600.0,3600.0,1338.5726205673277,0.0,首批截止:是
S007-WAT-02,饮用水,Q23-010,S007,False,3600.0,,1338.5726205673277,0.0,无需硬时限
S007-FOD-01,应急食品,Q23-010,S007,False,7200.0,,1338.5726205673277,0.0,无需硬时限
S007-HYG-01,生活卫生用品,Q23-010,S007,False,10800.0,,1338.5726205673277,0.0,无需硬时限
S008-MED-01,医疗物资,Q23-011,S008,True,7200.0,7200.0,4668.171722663816,0.0,医疗期望送达:是;首批截止:是
S008-WAT-01,饮用水,Q23-011,S008,True,7200.0,7200.0,4668.171722663816,0.0,首批截止:是
S008-FOD-01,应急食品,Q23-011,S008,False,10800.0,,4668.171722663816,0.0,无需硬时限
S008-WAT-02,饮用水,Q23-012,S008,False,7200.0,,6443.171722663816,0.0,无需硬时限
S008-HYG-01,生活卫生用品,Q23-012,S008,False,14400.0,,6443.171722663816,0.0,无需硬时限
S009-MED-01,医疗物资,Q23-013,S009,True,10800.0,10800.0,8207.979895273555,0.0,医疗期望送达:是;首批截止:是
S009-WAT-01,饮用水,Q23-013,S009,True,10800.0,10800.0,8207.979895273555,0.0,首批截止:是
S009-FOD-01,应急食品,Q23-013,S009,False,14400.0,,8207.979895273555,0.0,无需硬时限
S010-MED-01,医疗物资,Q23-014,S010,True,3600.0,3600.0,1084.8227862473875,0.0,医疗期望送达:是;首批截止:是
S010-WAT-01,饮用水,Q23-014,S010,True,3600.0,3600.0,1084.8227862473875,0.0,首批截止:是
S010-FOD-01,应急食品,Q23-014,S010,False,7200.0,,1084.8227862473875,0.0,无需硬时限
S011-MED-01,医疗物资,Q23-015,S011,True,10800.0,10800.0,8327.526070006852,0.0,医疗期望送达:是;首批截止:是
S011-WAT-01,饮用水,Q23-015,S011,True,10800.0,10800.0,8327.526070006852,0.0,首批截止:是
S011-FOD-01,应急食品,Q23-015,S011,False,14400.0,,8327.526070006852,0.0,无需硬时限
S012-MED-01,医疗物资,Q23-016,S012,True,7200.0,3600.0,3242.2208661382333,0.0,医疗期望送达:是;首批截止:是
S012-WAT-01,饮用水,Q23-016,S012,True,3600.0,3600.0,3242.2208661382333,0.0,首批截止:是
S012-FOD-01,应急食品,Q23-016,S012,False,7200.0,,3242.2208661382333,0.0,无需硬时限
S013-MED-01,医疗物资,Q23-017,S013,True,3600.0,3600.0,1062.7338040629988,0.0,医疗期望送达:是;首批截止:是
S013-WAT-01,饮用水,Q23-017,S013,True,3600.0,3600.0,1062.7338040629988,0.0,首批截止:是
S013-FOD-01,应急食品,Q23-017,S013,False,7200.0,,1062.7338040629988,0.0,无需硬时限
S014-MED-01,医疗物资,Q23-018,S014,True,7200.0,3600.0,2752.8558906011895,0.0,医疗期望送达:是;首批截止:是
S014-WAT-01,饮用水,Q23-018,S014,True,3600.0,3600.0,2752.8558906011895,0.0,首批截止:是
S014-FOD-01,应急食品,Q23-018,S014,False,7200.0,,2752.8558906011895,0.0,无需硬时限
S015-MED-01,医疗物资,Q23-019,S015,True,7200.0,7200.0,4598.227050508005,0.0,医疗期望送达:是;首批截止:是
S015-WAT-01,饮用水,Q23-019,S015,True,10800.0,10800.0,4598.227050508005,0.0,首批截止:是
S015-FOD-01,应急食品,Q23-019,S015,False,14400.0,,4598.227050508005,0.0,无需硬时限
