货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S009-FOD-01,应急食品,P00014,S009,False,14400.0,,4866.468455136897,0.0,无需硬时限
S003-WAT-02,饮用水,P00044,S003,False,7200.0,,5504.419172734803,0.0,无需硬时限
S003-WAT-03,饮用水,P00044,S003,False,7200.0,,5504.419172734803,0.0,无需硬时限
S003-WAT-04,饮用水,P00044,S003,False,7200.0,,5504.419172734803,0.0,无需硬时限
S003-FOD-01,应急食品,P00044,S003,False,10800.0,,5504.419172734803,0.0,无需硬时限
S003-FOD-02,应急食品,P00044,S003,False,10800.0,,5504.419172734803,0.0,无需硬时限
S003-HYG-01,生活卫生用品,P00044,S003,False,14400.0,,5504.419172734803,0.0,无需硬时限
S003-MED-01,医疗物资,P00041,S003,True,7200.0,7200.0,5319.493366996394,0.0,医疗期望送达:是;首批截止:是
S003-WAT-01,饮用水,P00041,S003,True,7200.0,7200.0,5319.493366996394,0.0,首批截止:是
S004-MED-01,医疗物资,P00009,S004,True,7200.0,7200.0,5560.76890025323,0.0,医疗期望送达:是;首批截止:是
S004-WAT-01,饮用水,P00009,S004,True,7200.0,7200.0,5560.76890025323,0.0,首批截止:是
S004-WAT-02,饮用水,P00009,S004,False,7200.0,,5560.76890025323,0.0,无需硬时限
S004-WAT-03,饮用水,P00009,S004,False,7200.0,,5560.76890025323,0.0,无需硬时限
S004-FOD-01,应急食品,P00009,S004,False,10800.0,,5560.76890025323,0.0,无需硬时限
S004-HYG-01,生活卫生用品,P00009,S004,False,14400.0,,5560.76890025323,0.0,无需硬时限
S010-FOD-01,应急食品,P00107,S010,False,7200.0,,5697.332704052861,0.0,无需硬时限
S013-FOD-01,应急食品,P00107,S013,False,7200.0,,5290.274954059338,0.0,无需硬时限
S011-MED-01,医疗物资,P00077,S011,True,10800.0,10800.0,5657.661696259629,0.0,医疗期望送达:是;首批截止:是
S011-WAT-01,饮用水,P00077,S011,True,10800.0,10800.0,5657.661696259629,0.0,首批截止:是
S011-FOD-01,应急食品,P00080,S011,False,14400.0,,5960.968187749493,0.0,无需硬时限
