架次编号,航段序号,from,to,payload_kg,distance_m,cruise_altitude_m,flight_s,energy_kwh
Q23-017,2,S012,O01,0.0,7398.449561287365,413.3009948730469,651.9707003260587,1.0897523225105272
Q23-018,1,O01,S014,17.0,5410.9170943694,591.9473876953125,702.0378421740126,1.2498018585471689
Q23-018,2,S014,O01,0.0,5410.9170943694,591.9473876953125,716.9245088406792,1.0377776035944999
Q23-019,1,O01,S015,17.0,6019.113948538039,571.7992553710938,588.2270505080047,1.1900178508201908
Q23-019,2,S015,O01,0.0,6019.113948538039,571.7992553710938,611.3470505080047,0.8838015397669887
Q23-020,1,O01,S013,16.0,4848.706999909826,399.18182373046875,513.5455873948292,1.0606676793482328
Q23-020,2,S013,S010,8.0,1383.3537128129105,504.07037353515625,227.0577499935238,0.30332284152685984
Q23-020,3,S010,O01,0.0,4778.43990162097,435.63653564453125,549.3901179410705,0.8823754255246029
Q23-021,1,O01,S010,25.0,4778.43990162097,435.63653564453125,454.82278624738757,1.1177036227738857
Q23-021,2,S010,S014,8.0,1758.3707880100683,537.5635681152344,253.83800248517642,0.3183117570420679
Q23-021,3,S014,O01,0.0,5410.9170943694,591.9473876953125,626.7425572678559,0.8322426453316359
Q23-022,1,O01,S007,25.0,4533.827897987457,501.8304748535156,488.2975414250752,1.0883947390666326
Q23-022,2,S007,S015,8.0,2228.382783540753,502.918212890625,211.39887502250855,0.3809549997024969
Q23-022,3,S015,O01,0.0,6019.113948538039,571.7992553710938,611.3470505080047,0.8838015397669887
Q23-023,1,O01,S013,25.0,4848.706999909826,399.18182373046875,432.7338040629988,1.1201844445611484
Q23-023,2,S013,S009,8.0,3218.6733865089445,371.70806884765625,277.93080958887754,0.49417506537651756
Q23-023,3,S009,O01,0.0,5722.680393214653,293.2289123535156,468.799895273555,0.8330752102225674
Q23-024,1,O01,S009,25.0,5722.680393214653,293.2289123535156,461.979895273555,1.2693558680147266
Q23-024,2,S009,S012,8.0,2967.871318901601,360.91961669921875,273.9458068395338,0.4867317737985117
Q23-024,3,S012,O01,0.0,7398.449561287365,413.3009948730469,651.9707003260587,1.0897523225105272
Q23-025,1,O01,S006,70.0,3181.0333082558964,366.09783935546875,333.0769426369817,1.8762677286137184
Q23-025,2,S006,S007,28.0,2516.493361922958,590.361328125,398.9214194406972,0.9735378683527626
Q23-025,3,S007,O01,0.0,4533.827897987457,501.8304748535156,550.6526205673279,1.435574013077356
